2014-07-26, 18:52:43, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 26 Jul 2014 12:07:00</b> Can not be earlier then :: Sat 26 Jul 2014 19:07:43, takeaway.php, 51, 
2014-07-26, 19:12:52, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 26 Jul 2014 12:07:00</b> Can not be earlier then :: Sat 26 Jul 2014 19:07:52, takeaway.php, 51, 
2014-07-26, 19:19:58, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-26, 20:36:22, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 26 Jul 2014 13:07:00</b> Can not be earlier then :: Sat 26 Jul 2014 20:07:22, takeaway.php, 51, 
2014-07-26, 20:46:38, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-27, 11:17:15, AAA1786, 127.0.0.1, Paypal :: ENGINEERING :: cpp-header-back-color value exceeds maximum allowable length., takeaway.php, 50, 
2014-07-27, 11:18:04, AAA1786, 127.0.0.1, Paypal :: ENGINEERING :: cpp-header-back-color value exceeds maximum allowable length., takeaway.php, 50, 
2014-07-27, 11:18:05, AAA1786, 127.0.0.1, Paypal :: ENGINEERING :: cpp-header-back-color value exceeds maximum allowable length., takeaway.php, 50, 
2014-07-27, 11:24:55, AAA1786, 127.0.0.1, You have cancelled this transaction from PayPal <br /> Please Cheeose another payment method to complete this order., takeaway.php, 50, 
2014-07-27, 11:24:59, AAA1786, 127.0.0.1, You have cancelled this transaction from PayPal <br /> Please Cheeose another payment method to complete this order., takeaway.php, 50, 
2014-07-27, 11:27:26, AAA1786, 127.0.0.1, You have cancelled this transaction from PayPal <br /> Please Cheeose another payment method to complete this order., takeaway.php, 50, 
2014-07-27, 11:27:26, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 50, 
2014-07-27, 11:48:51, AAA1786, 127.0.0.1, Paypal :: ENGINEERING :: cpp-header-back-color value exceeds maximum allowable length., takeaway.php, 50, 
2014-07-27, 11:48:51, AAA1786, 127.0.0.1, Paypal :: ENGINEERING :: cpp-header-back-color value exceeds maximum allowable length., takeaway.php, 50, 
2014-07-27, 17:27:55, AAA1786, 127.0.0.1, Paypal :: ENGINEERING :: This transaction cannot be processed. The amount to be charged is zero., takeaway.php, 50, 
2014-07-27, 17:27:56, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 50, 
2014-07-27, 17:39:12, AAA1786, 127.0.0.1,  Requested Time :: <b>Sun 27 Jul 2014 12:07:00</b> Can not be earlier then :: Sun 27 Jul 2014 17:07:11, takeaway.php, 50, 
2014-07-27, 20:40:04, AAA1786, 127.0.0.1, Cancelled from PayPal, takeaway.php, 50, 
2014-07-27, 20:40:55, AAA1786, 127.0.0.1, Cancelled from PayPal, takeaway.php, 50, 
2014-07-27, 22:10:48, AAA1786, 127.0.0.1, Paypal :: ENGINEERING :: This transaction cannot be processed. The amount to be charged is zero., takeaway.php, 50, 
2014-07-27, 22:10:48, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 50, 
2014-07-27, 22:13:09, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 50, 
2014-07-28, 19:52:37, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 50, 
2014-08-01, 21:44:14, AAA1786, 127.0.0.1,  Requested Time :: <b>Fri 01 Aug 2014 12:08:00</b> Can not be earlier then :: Fri 01 Aug 2014 21:08:14, takeaway.php, 51, 
2014-08-02, 22:02:41, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 02 Aug 2014 12:08:00</b> Can not be earlier then :: Sat 02 Aug 2014 22:08:41, takeaway.php, 51, 
2014-08-02, 22:04:05, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 02 Aug 2014 12:08:00</b> Can not be earlier then :: Sat 02 Aug 2014 22:08:05, takeaway.php, 51, 
2014-08-02, 22:07:02, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 02 Aug 2014 12:08:00</b> Can not be earlier then :: Sat 02 Aug 2014 22:08:02, takeaway.php, 51, 
2014-08-03, 18:50:05, AAA1786, 127.0.0.1,  Requested Time :: <b>Sun 03 Aug 2014 12:08:00</b> Can not be earlier then :: Sun 03 Aug 2014 19:08:05, takeaway.php, 51, 
2014-08-03, 18:52:51, AAA1786, 127.0.0.1,  Requested Time :: <b>Sun 03 Aug 2014 12:08:00</b> Can not be earlier then :: Sun 03 Aug 2014 19:08:51, takeaway.php, 51, 
2014-08-03, 18:52:56, AAA1786, 127.0.0.1,  Requested Time :: <b>Sun 03 Aug 2014 12:08:00</b> Can not be earlier then :: Sun 03 Aug 2014 19:08:55, takeaway.php, 51, 
2014-08-03, 18:54:30, AAA1786, 127.0.0.1,  Requested Time :: <b>Sun 03 Aug 2014 12:08:00</b> Can not be earlier then :: Sun 03 Aug 2014 19:08:30, takeaway.php, 51, 
2014-08-03, 18:56:53, AAA1786, 127.0.0.1,  Requested Time :: <b>Sun 03 Aug 2014 12:08:00</b> Can not be earlier then :: Sun 03 Aug 2014 19:08:53, takeaway.php, 51, 
2014-08-03, 18:57:43, AAA1786, 127.0.0.1,  Requested Time :: <b>Sun 03 Aug 2014 12:08:00</b> Can not be earlier then :: Sun 03 Aug 2014 19:08:43, takeaway.php, 51, 
2014-08-03, 18:58:42, AAA1786, 127.0.0.1,  Requested Time :: <b>Sun 03 Aug 2014 12:08:00</b> Can not be earlier then :: Sun 03 Aug 2014 19:08:42, takeaway.php, 51, 
2014-08-03, 19:00:44, AAA1786, 127.0.0.1,  Requested Time :: <b>Sun 03 Aug 2014 12:08:00</b> Can not be earlier then :: Sun 03 Aug 2014 19:08:44, takeaway.php, 51, 
2014-08-03, 19:01:11, AAA1786, 127.0.0.1,  Requested Time :: <b>Sun 03 Aug 2014 12:08:00</b> Can not be earlier then :: Sun 03 Aug 2014 19:08:11, takeaway.php, 51, 
